Date,Job Retention Bonus,Kickstart Job Scheme for young people,Not sure ,"Not using, or intending to use, either of these schemes"
19/11/2020,37.4%,2.3%,12.6%,49.4%
03/12/2020,38.2%,2.6%,11.0%,48.9%
17/12/2020,34.40%,1.70%,9.30%,55.40%
07/01/2021,38.2%,2.1%,8.4%,51.9%
14/01/2021,36.4%,2.3%,5.8%,57.5%
28/01/2021,30.4%,1.4%,16.5%,53.0%
11/02/2021,48.7%,4.9%,4.9%,46.1%
25/02/2021,43.0%,3.2%,6.8%,48.2%
11/03/2021,38.60%,3.30%,8.70%,51.50%
25/03/2021,43.30%,4.70%,9.80%,45.00%
08/04/2021,49.10%,2.40%,9.90%,40.80%
22/04/2021,42.0%,1.9%,6.9%,44.4%
06/05/2021,43.5%,1.9%,12.9%,42.5%
20/05/2021,45.0%,3.0%,12.2%,41.5%
03/06/2021,46.5%,1.7%,5.1%,45.9%
17/06/2021,31.7%,2.6%,10.0%,50.9%
01/07/2021,36.3%,1.2%,14.4%,46.1%
15/07/2021,30.1%,2.0%,3.1%,60.5%
29/07/2021,39.9%,1.4%,11.4%,46.8%
12/08/2021,32.3%,1.5%,11.5%,49.8%
26/08/2021,32.1%,1.6%,9.7%,55.7%
09/09/2021,32.3%,1.4%,9.8%,62.9%
23/09/2021,29.9%,1.2%,11.4%,52.7%
